Week	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
0	0.3487	3.3464	0.14602	2	2.3	2.5	2.6	2.8	2.9	3	3.3	3.7	3.9	4	4.2	4.3	4.6	5.1
1	0.2776	3.4879	0.14483	2.2	2.4	2.6	2.7	2.9	3	3.2	3.5	3.8	4	4.2	4.4	4.5	4.8	5.3
2	0.2581	3.7529	0.14142	2.4	2.7	2.8	3	3.1	3.2	3.4	3.8	4.1	4.3	4.5	4.7	4.9	5.1	5.7
3	0.2442	4.0603	0.13807	2.6	2.9	3.1	3.2	3.4	3.5	3.7	4.1	4.5	4.7	4.8	5.1	5.2	5.5	6.1
4	0.2331	4.3671	0.13497	2.8	3.2	3.4	3.5	3.7	3.8	4	4.4	4.8	5	5.2	5.4	5.6	5.9	6.5
5	0.2237	4.659	0.13215	3	3.4	3.6	3.7	3.9	4.1	4.3	4.7	5.1	5.3	5.5	5.8	5.9	6.3	6.9
6	0.2155	4.9303	0.1296	3.2	3.6	3.8	4	4.2	4.3	4.5	4.9	5.4	5.6	5.8	6.1	6.3	6.6	7.2
7	0.2081	5.1817	0.12729	3.4	3.8	4.1	4.2	4.4	4.5	4.8	5.2	5.6	5.9	6.1	6.4	6.5	6.9	7.6
8	0.2014	5.4149	0.1252	3.6	4	4.3	4.4	4.6	4.7	5	5.4	5.9	6.2	6.3	6.6	6.8	7.2	7.9
9	0.1952	5.6319	0.1233	3.8	4.2	4.4	4.6	4.8	4.9	5.2	5.6	6.1	6.4	6.6	6.9	7.1	7.4	8.1
10	0.1894	5.8346	0.12157	4	4.4	4.6	4.8	5	5.1	5.4	5.8	6.3	6.6	6.8	7.1	7.3	7.7	8.4
11	0.184	6.0242	0.12001	4.1	4.5	4.8	4.9	5.2	5.3	5.6	6	6.5	6.8	7	7.3	7.5	7.9	8.6
12	0.1789	6.2019	0.1186	4.2	4.7	4.9	5.1	5.3	5.5	5.7	6.2	6.7	7	7.2	7.5	7.7	8.1	8.8
13	0.174	6.369	0.11732	4.4	4.8	5.1	5.2	5.5	5.6	5.9	6.4	6.9	7.2	7.4	7.7	7.9	8.3	9.1
