Day	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
0	1.701	2.080	2.459	2.881	3.346	3.859	4.419	5.031	5.642
1	1.692	2.065	2.437	2.854	3.317	3.830	4.394	5.013	5.633
2	1.707	2.080	2.454	2.872	3.337	3.852	4.421	5.045	5.669
3	1.725	2.100	2.475	2.895	3.363	3.881	4.453	5.083	5.712
4	1.745	2.122	2.499	2.921	3.392	3.913	4.490	5.124	5.758
5	1.767	2.146	2.525	2.949	3.422	3.947	4.528	5.167	5.806
6	1.789	2.170	2.551	2.978	3.454	3.983	4.568	5.211	5.855
7	1.812	2.195	2.579	3.009	3.488	4.020	4.609	5.257	5.905
8	1.835	2.221	2.607	3.040	3.522	4.058	4.650	5.303	5.956
9	1.859	2.248	2.637	3.072	3.558	4.097	4.693	5.351	6.009
10	1.884	2.276	2.667	3.105	3.594	4.137	4.738	5.400	6.062
11	1.910	2.304	2.698	3.140	3.632	4.179	4.784	5.451	6.118
12	1.936	2.333	2.730	3.175	3.671	4.222	4.831	5.503	6.175
13	1.963	2.363	2.764	3.212	3.711	4.266	4.880	5.558	6.235
14	1.991	2.395	2.798	3.249	3.753	4.312	4.931	5.613	6.296
15	2.020	2.426	2.833	3.288	3.796	4.359	4.983	5.671	6.358
16	2.049	2.459	2.869	3.327	3.839	4.407	5.035	5.729	6.422
17	2.078	2.491	2.905	3.367	3.883	4.455	5.089	5.787	6.486
18	2.107	2.524	2.941	3.407	3.927	4.504	5.143	5.847	6.551
19	2.137	2.557	2.977	3.448	3.971	4.553	5.196	5.906	6.615
20	2.167	2.590	3.014	3.488	4.016	4.602	5.250	5.965	6.680
21	2.197	2.624	3.051	3.528	4.060	4.651	5.304	6.024	6.745
22	2.226	2.657	3.087	3.569	4.105	4.700	5.358	6.083	6.809
23	2.256	2.690	3.124	3.609	4.149	4.748	5.411	6.142	6.873
24	2.286	2.723	3.160	3.649	4.193	4.797	5.464	6.200	6.937
25	2.316	2.756	3.197	3.689	4.237	4.845	5.517	6.259	7.000
26	2.345	2.789	3.233	3.729	4.281	4.893	5.570	6.316	7.063
27	2.375	2.822	3.269	3.768	4.324	4.940	5.622	6.373	7.125
28	2.404	2.854	3.305	3.807	4.367	4.988	5.674	6.430	7.187
29	2.433	2.887	3.340	3.847	4.410	5.035	5.725	6.487	7.248
30	2.462	2.919	3.376	3.885	4.452	5.081	5.776	6.542	7.308
31	2.491	2.951	3.411	3.924	4.495	5.127	5.827	6.597	7.368
32	2.520	2.982	3.445	3.962	4.536	5.173	5.877	6.652	7.427
33	2.548	3.014	3.480	4.000	4.578	5.218	5.926	6.706	7.486
34	2.576	3.045	3.514	4.037	4.618	5.263	5.975	6.759	7.543
35	2.604	3.076	3.548	4.074	4.659	5.307	6.023	6.812	7.600
36	2.632	3.107	3.581	4.111	4.699	5.351	6.071	6.864	7.657
37	2.660	3.137	3.615	4.147	4.739	5.394	6.118	6.915	7.712
38	2.687	3.167	3.648	4.183	4.778	5.437	6.164	6.965	7.767
39	2.714	3.197	3.680	4.219	4.817	5.479	6.210	7.016	7.821
40	2.741	3.227	3.712	4.254	4.855	5.521	6.256	7.065	7.874
41	2.768	3.256	3.744	4.289	4.893	5.562	6.300	7.114	7.927
42	2.794	3.285	3.776	4.323	4.930	5.603	6.345	7.162	7.979
43	2.820	3.314	3.807	4.357	4.967	5.643	6.388	7.209	8.030
44	2.846	3.342	3.838	4.391	5.004	5.683	6.432	7.256	8.081
45	2.872	3.370	3.869	4.424	5.040	5.722	6.475	7.303	8.131
46	2.897	3.398	3.900	4.457	5.076	5.761	6.517	7.349	8.180
47	2.923	3.426	3.930	4.490	5.112	5.800	6.558	7.394	8.229
48	2.948	3.454	3.960	4.522	5.147	5.838	6.600	7.438	8.277
49	2.972	3.481	3.989	4.555	5.182	5.875	6.641	7.483	8.325
50	2.997	3.508	4.018	4.586	5.216	5.913	6.681	7.526	8.372
51	3.021	3.534	4.047	4.618	5.250	5.949	6.721	7.569	8.418
52	3.045	3.561	4.076	4.649	5.284	5.986	6.760	7.612	8.464
53	3.070	3.587	4.104	4.680	5.317	6.022	6.799	7.654	8.509
54	3.093	3.613	4.133	4.710	5.350	6.057	6.837	7.696	8.554
55	3.117	3.639	4.160	4.740	5.383	6.093	6.876	7.737	8.598
56	3.140	3.664	4.188	4.770	5.415	6.128	6.913	7.777	8.642
57	3.164	3.689	4.215	4.800	5.447	6.162	6.950	7.817	8.684
58	3.187	3.714	4.242	4.829	5.478	6.196	6.987	7.857	8.727
59	3.209	3.739	4.269	4.858	5.510	6.230	7.024	7.896	8.769
60	3.232	3.764	4.296	4.887	5.541	6.263	7.060	7.935	8.811
61	3.254	3.788	4.322	4.915	5.571	6.296	7.095	7.974	8.852
62	3.276	3.812	4.348	4.943	5.602	6.329	7.131	8.012	8.893
63	3.298	3.836	4.374	4.971	5.632	6.362	7.166	8.049	8.933
64	3.320	3.860	4.400	4.999	5.662	6.394	7.200	8.087	8.973
65	3.342	3.884	4.425	5.026	5.691	6.426	7.234	8.123	9.013
66	3.364	3.907	4.450	5.053	5.720	6.457	7.268	8.160	9.052
67	3.385	3.930	4.475	5.080	5.749	6.488	7.302	8.196	9.090
68	3.406	3.953	4.500	5.107	5.778	6.519	7.335	8.232	9.128
69	3.427	3.976	4.525	5.133	5.806	6.550	7.368	8.267	9.166
70	3.448	3.998	4.549	5.159	5.835	6.580	7.400	8.302	9.203
71	3.468	4.021	4.573	5.185	5.862	6.610	7.433	8.337	9.240
72	3.489	4.043	4.597	5.211	5.890	6.639	7.464	8.371	9.277
73	3.509	4.065	4.620	5.236	5.917	6.669	7.496	8.405	9.313
74	3.529	4.087	4.644	5.262	5.944	6.698	7.527	8.438	9.349
75	3.549	4.108	4.667	5.287	5.971	6.727	7.558	8.471	9.385
76	3.569	4.130	4.690	5.311	5.998	6.755	7.589	8.504	9.420
77	3.588	4.151	4.713	5.336	6.024	6.783	7.619	8.537	9.455
78	3.608	4.172	4.736	5.360	6.050	6.811	7.649	8.569	9.489
79	3.627	4.193	4.758	5.384	6.076	6.839	7.679	8.601	9.523
80	3.646	4.213	4.780	5.408	6.102	6.867	7.709	8.633	9.557
81	3.665	4.234	4.802	5.432	6.127	6.894	7.738	8.664	9.590
82	3.684	4.254	4.824	5.455	6.152	6.921	7.767	8.695	9.624
83	3.703	4.274	4.846	5.478	6.177	6.948	7.795	8.726	9.657
84	3.721	4.294	4.867	5.501	6.202	6.974	7.824	8.756	9.689
85	3.739	4.314	4.888	5.524	6.226	7.000	7.852	8.787	9.721
86	3.758	4.334	4.909	5.547	6.251	7.027	7.880	8.817	9.753
87	3.776	4.353	4.930	5.569	6.275	7.052	7.907	8.846	9.785
88	3.794	4.372	4.951	5.591	6.299	7.078	7.935	8.876	9.816
89	3.811	4.392	4.972	5.614	6.322	7.103	7.962	8.905	9.848
90	3.829	4.410	4.992	5.635	6.346	7.128	7.989	8.934	9.879
91	3.846	4.429	5.012	5.657	6.369	7.153	8.016	8.962	9.909
92	3.864	4.448	5.032	5.679	6.392	7.178	8.042	8.991	9.940
